Currently,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,,,C,M,T,W,Xm,Xw,Y,Tot,,days,per day,
20-Jul,Y09,0,0,0,0,0,0,1,14-Sep,,17-Aug,17-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,Y11,0,0,0,0,0,0,1,14-Sep,,17-Aug,17-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,W17,0,0,0,1,0,0,0,7-Sep,,17-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,Y13,0,0,0,0,0,0,1,24-Aug,,18-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,C14,1,0,0,0,0,0,0,24-Aug,,18-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,T01,0,0,1,0,0,0,0,24-Aug,,18-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,W09,0,0,0,1,0,0,0,24-Aug,,18-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Aug,M28,0,1,0,0,0,0,0,10-Sep,,18-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,C25,1,0,0,0,0,0,0,15-Aug,,21-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,Y07,0,0,0,0,0,0,1,15-Aug,,21-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,M33,0,1,0,0,0,0,0,26-Sep,,29-Aug,29-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,XW05,0,0,0,0,0,1,0,15-Aug,,22-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
