,,,Avail (I),Rep (K),Test ( P),Loan O,Hold,Scrap,MIA  s,Given,,Repair,,Test,,Loan,,Hold,,Scrap,,MIA,,GIVEN,,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M10,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y04,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W13,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W08,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W12,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C04,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C20,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C24,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M19,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M25,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M32,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W02,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y12,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C13,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,XM08,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y16,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C15,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y08,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M26,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y09,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y11,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,XM03,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W10,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W17,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C27,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W03,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M04,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M17,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M07,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M21,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W09,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C18,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M18,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y13,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y01,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M28,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W15,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,XM02,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,0,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,0,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
