 Bike ID,Bike Brand,Bike Serial Number,Bike Tire Max PSI ,Bike Gears,Bike TIRE SIZE  F_R,Bike Photo Inventory 2018
M03,Raleigh grey/black,AV07A2465,75,24,700 X 38C,M03  Raleigh greyblack  AV07A2465  75  700 X 38C_00002926.jpg
W19,Minelli gris-noir,C911110103,50,75,700 X 38C,W19 Minelli gris-noir C911110103  50 70  700 X 38C_0793.jpg
W17,Norco Arctic turquoise,HSBK01438,75,null,700 X 38C,W17 Norco Arctic turquoise HSBK01438 75 21 700 X 38C_122019.jpg
XM05,Diamondbac​k black  ,RCY1001479​0,80,21,700 x 45C,XM05 Diamondbac​k black    RCY1001479​0  80  700 x 45C_332.jpg
XM04,Specialized black,CD125197,85,14,700X28C,XM04 Specialized black CD125197  85  700X28C_00001987.jpg
XW02,W red Global ,WSBC606 051633F,80,1,700X35C,XW02  red Global   WSBC606 051633F  80  700X35C_00000705.jpg
XW03,Women's burgundy Global ,WSBC602 242440F,95,14,700X35C,XW03  burgundy Global   WSBC602 242440F  95  700X35C_00000703.jpg
XM01,brown Global ,WSBC602 309646F,95,14,700X35C,XM01  brown Global   WSBC602 309646F  95  700X35C _00000709.jpg
XM02,brown Global ,WSBC602 309649F,95,14,700X35C,XM02_brown Global_WSBC602 309649F_ 95_ 700X35C_113002.jpg
XM03,brown Global ,WSBC602 309650F,95,14,700X35C,XM03  brown Global   WSBC602 309650F  95  700X35C_00000700.jpg
XW01,Women's burgundy Global ,WSBC602 309678F,95,14,700X35C,XW01  burgundy Global   WSBC602 309678F  95  700X35C_00000711.jpg
XW04,Giant Cyprus blue/white, C78C0563,70,21,700X38C,XW04 Giant Cyprus bluewhite  C78C0563  70  700X38C_00002049.jpg
XM10,Miele Verona,PRE0425147,70,21,700X38C,XM10 Miele Verona PRE0425147_70_700X38C_115036.jpg
XW05,Blue/silver Specialized ,P3BH34691,95,21,700X38C,XW05 Bluesilver Specialized P3BH34691  95  700X38C_00002990.jpg
Y04,CCM Static black    ,AL12C1550,45,21,F 24 X 2.10 R 24X1.95,Y04  CCM Static black AL12C1550  45  F 24 X 2.10 R 24X1.95_00001654.jpg
Y13,Schwinn kicker pro,SNMN609AZ7638,60,21,F:24 X 2.125 et R:24 X 1.95,Y13 Schwinn kicker pro_grey_Snmn609az7638_60_24 x 2.125_ 24 x 1.95_103155jpg
W13,Miele blue     ,CS509129,80,6,No number,W13 Miele blue CS509129  80___429.jpg
M26,Montego Transit Purple,null,null,null,null,M26 Montego Transit Purple_160525.jpg
T03,null,null,null,null,null,null
M31,White Supercycle Challenger,null,null,null,null,null
W18,white Supercycle Challenger,null,null,null,null,null
