,Date,Date,Tag # *,C,M,T,W,Xm,Xw,Y,,Wks in Repair,Days in Repair,,,,,,,,,,,,,,
,In Repair,Repaired,,,,,,,,,,,Repaired,Counting,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
IN REPAIR,,,,6,3,2,4,0,0,2,,,,,,,,,,,,,,,,,
REPAIRED,,,,29,49,9,24,4,1,20,,,,,,,,,,,,,,,,,
